"Source:","/home/greg/projects/FreshTwinkie/hardware/FreshTwinkie_v0.1/FreshTwinkie.sch"
"Date:","Mon 05 Aug 2019 21:20:34 ACST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfg","PN"
"","","C1","1uF","Device:C","pkl_dipol:C_0402","~","Samsung Electro-Mechanics","CL05A105MQ5NNNC"
"","","C2","100nF","Device:C","pkl_dipol:C_0201","~","Samsung Electro-Mechanics","CL03A104KQ3NNNC"
"","","C3","100nF","Device:C","pkl_dipol:C_0201","~","Samsung Electro-Mechanics","CL03A104KQ3NNNC"
"","","C4","4.7uF","Device:C","pkl_dipol:C_0402","~","Samsung Electro-Mechanics","CL05A475MQ5NRNC"
"","","C5","10nF","Device:C","pkl_dipol:C_0201","~","Samsung Electro-Mechanics","CL03B103KP3NNNC"
"","","C6","1uF","Device:C","pkl_dipol:C_0402","~","Samsung Electro-Mechanics","CL05A105MQ5NNNC"
"","","C7","4.7uF","Device:C","pkl_dipol:C_0402","~","Samsung Electro-Mechanics","CL05A475MQ5NRNC"
"","","C8","100nF","Device:C","pkl_dipol:C_0201","~","Samsung Electro-Mechanics","CL03A104KQ3NNNC"
"","","D1","5.6V","Device:D_Zener_ALT","Diode_SMD:D_0402_1005Metric","~","",""
"","","D2","LED_ARGB","Device:LED_ARGB","gkl_led:0404LED_RGB","~","",""
"","","FB1","600R","Device:Ferrite_Bead_Small","pkl_dipol:L_0402","~","Murata Electronics North America","BLM15AG601SN1D"
"","","FB2","600R","Device:Ferrite_Bead_Small","pkl_dipol:L_0402","~","Murata Electronics North America","BLM15AG601SN1D"
"","","J1","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_GCT_USB3076-30-A","~","GCT","USB3076-30-A"
"","","J2","USB_C_Receptacle","Connector:USB_C_Receptacle","Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Amphenol ICC (Commercial Products)","12401610E4#2A"
